1969-12-31 18:16:45 status installed libc-bin 2.15-0ubuntu10.12
1969-12-31 18:21:49 startup archives unpack
1969-12-31 18:21:50 install libtiffxx0c2 <none> 3.9.5-2ubuntu1.8
1969-12-31 18:21:50 status half-installed libtiffxx0c2 3.9.5-2ubuntu1.8
1969-12-31 18:21:50 status unpacked libtiffxx0c2 3.9.5-2ubuntu1.8
1969-12-31 18:21:50 status unpacked libtiffxx0c2 3.9.5-2ubuntu1.8
1969-12-31 18:21:50 install libtiff4-dev <none> 3.9.5-2ubuntu1.8
1969-12-31 18:21:50 status half-installed libtiff4-dev 3.9.5-2ubuntu1.8
1969-12-31 18:21:50 status triggers-pending man-db 2.6.1-2
1969-12-31 18:21:51 status half-installed libtiff4-dev 3.9.5-2ubuntu1.8
1969-12-31 18:21:51 status unpacked libtiff4-dev 3.9.5-2ubuntu1.8
1969-12-31 18:21:51 status unpacked libtiff4-dev 3.9.5-2ubuntu1.8
1969-12-31 18:21:51 trigproc man-db 2.6.1-2 2.6.1-2
1969-12-31 18:21:51 status half-configured man-db 2.6.1-2
1969-12-31 18:22:13 status installed man-db 2.6.1-2
1969-12-31 18:22:15 startup packages configure
1969-12-31 18:22:15 configure libtiffxx0c2 3.9.5-2ubuntu1.8 <none>
1969-12-31 18:22:15 status unpacked libtiffxx0c2 3.9.5-2ubuntu1.8
1969-12-31 18:22:15 status half-configured libtiffxx0c2 3.9.5-2ubuntu1.8
1969-12-31 18:22:16 status installed libtiffxx0c2 3.9.5-2ubuntu1.8
1969-12-31 18:22:16 status triggers-pending libc-bin 2.15-0ubuntu10.12
1969-12-31 18:22:16 configure libtiff4-dev 3.9.5-2ubuntu1.8 <none>
1969-12-31 18:22:16 status unpacked libtiff4-dev 3.9.5-2ubuntu1.8
1969-12-31 18:22:16 status half-configured libtiff4-dev 3.9.5-2ubuntu1.8
1969-12-31 18:22:16 status installed libtiff4-dev 3.9.5-2ubuntu1.8
1969-12-31 18:22:16 trigproc libc-bin 2.15-0ubuntu10.12 <none>
1969-12-31 18:22:16 status half-configured libc-bin 2.15-0ubuntu10.12
1969-12-31 18:22:16 status installed libc-bin 2.15-0ubuntu10.12
1969-12-31 18:29:10 startup archives unpack
1969-12-31 18:29:11 install libpng12-dev <none> 1.2.46-3ubuntu4
1969-12-31 18:29:11 status half-installed libpng12-dev 1.2.46-3ubuntu4
1969-12-31 18:29:11 status triggers-pending man-db 2.6.1-2
1969-12-31 18:29:11 status half-installed libpng12-dev 1.2.46-3ubuntu4
1969-12-31 18:29:12 status unpacked libpng12-dev 1.2.46-3ubuntu4
1969-12-31 18:29:12 status unpacked libpng12-dev 1.2.46-3ubuntu4
1969-12-31 18:29:12 trigproc man-db 2.6.1-2 2.6.1-2
1969-12-31 18:29:12 status half-configured man-db 2.6.1-2
1969-12-31 18:29:23 status installed man-db 2.6.1-2
1969-12-31 18:29:25 startup packages configure
1969-12-31 18:29:25 configure libpng12-dev 1.2.46-3ubuntu4 <none>
1969-12-31 18:29:25 status unpacked libpng12-dev 1.2.46-3ubuntu4
1969-12-31 18:29:25 status half-configured libpng12-dev 1.2.46-3ubuntu4
1969-12-31 18:29:25 status installed libpng12-dev 1.2.46-3ubuntu4
1969-12-31 18:37:39 startup archives unpack
1969-12-31 18:37:40 install libavl1 <none> 0.3.5-3
1969-12-31 18:37:40 status half-installed libavl1 0.3.5-3
1969-12-31 18:37:40 status unpacked libavl1 0.3.5-3
1969-12-31 18:37:40 status unpacked libavl1 0.3.5-3
1969-12-31 18:37:40 install libavl-dev <none> 0.3.5-3
1969-12-31 18:37:40 status half-installed libavl-dev 0.3.5-3
1969-12-31 18:37:41 status unpacked libavl-dev 0.3.5-3
1969-12-31 18:37:41 status unpacked libavl-dev 0.3.5-3
1969-12-31 18:37:43 startup packages configure
1969-12-31 18:37:43 configure libavl1 0.3.5-3 <none>
1969-12-31 18:37:43 status unpacked libavl1 0.3.5-3
1969-12-31 18:37:43 status half-configured libavl1 0.3.5-3
1969-12-31 18:37:44 status installed libavl1 0.3.5-3
1969-12-31 18:37:44 status triggers-pending libc-bin 2.15-0ubuntu10.12
1969-12-31 18:37:44 configure libavl-dev 0.3.5-3 <none>
1969-12-31 18:37:44 status unpacked libavl-dev 0.3.5-3
1969-12-31 18:37:44 status half-configured libavl-dev 0.3.5-3
1969-12-31 18:37:44 status installed libavl-dev 0.3.5-3
1969-12-31 18:37:44 trigproc libc-bin 2.15-0ubuntu10.12 <none>
1969-12-31 18:37:44 status half-configured libc-bin 2.15-0ubuntu10.12
1969-12-31 18:37:44 status installed libc-bin 2.15-0ubuntu10.12
1969-12-31 18:41:56 startup archives unpack
1969-12-31 18:41:56 install libavutil-dev <none> 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:41:56 status half-installed libavutil-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:41:57 status unpacked libavutil-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:41:57 status unpacked libavutil-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:41:57 install libavcodec-dev <none> 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:41:57 status half-installed libavcodec-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:05 status unpacked libavcodec-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:05 status unpacked libavcodec-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:05 install libavformat-dev <none> 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:05 status half-installed libavformat-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:06 status unpacked libavformat-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:06 status unpacked libavformat-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:06 install libavdevice-dev <none> 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:06 status half-installed libavdevice-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:07 status unpacked libavdevice-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:07 status unpacked libavdevice-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 startup packages configure
1969-12-31 18:42:09 configure libavutil-dev 4:0.8.17-0ubuntu0.12.04.1 <none>
1969-12-31 18:42:09 status unpacked libavutil-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 status half-configured libavutil-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 status installed libavutil-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 configure libavcodec-dev 4:0.8.17-0ubuntu0.12.04.1 <none>
1969-12-31 18:42:09 status unpacked libavcodec-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 status half-configured libavcodec-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 status installed libavcodec-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 configure libavformat-dev 4:0.8.17-0ubuntu0.12.04.1 <none>
1969-12-31 18:42:09 status unpacked libavformat-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 status half-configured libavformat-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 status installed libavformat-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 configure libavdevice-dev 4:0.8.17-0ubuntu0.12.04.1 <none>
1969-12-31 18:42:09 status unpacked libavdevice-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 status half-configured libavdevice-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:42:09 status installed libavdevice-dev 4:0.8.17-0ubuntu0.12.04.1
1969-12-31 18:46:46 startup archives unpack
1969-12-31 18:46:47 upgrade libavahi-glib1 0.6.30-5ubuntu2 0.6.30-5ubuntu2.1
1969-12-31 18:46:47 status half-configured libavahi-glib1 0.6.30-5ubuntu2
1969-12-31 18:46:47 status unpacked libavahi-glib1 0.6.30-5ubuntu2
1969-12-31 18:46:47 status half-installed libavahi-glib1 0.6.30-5ubuntu2
1969-12-31 18:46:48 status half-installed libavahi-glib1 0.6.30-5ubuntu2
1969-12-31 18:46:48 status unpacked libavahi-glib1 0.6.30-5ubuntu2.1
1969-12-31 18:46:48 status unpacked libavahi-glib1 0.6.30-5ubuntu2.1
1969-12-31 18:46:48 install libpcrecpp0 <none> 8.12-4
1969-12-31 18:46:48 status half-installed libpcrecpp0 8.12-4
1969-12-31 18:46:48 status unpacked libpcrecpp0 8.12-4
1969-12-31 18:46:48 status unpacked libpcrecpp0 8.12-4
1969-12-31 18:46:48 install libavahi-common-dev <none> 0.6.30-5ubuntu2.1
1969-12-31 18:46:48 status half-installed libavahi-common-dev 0.6.30-5ubuntu2.1
1969-12-31 18:46:49 status unpacked libavahi-common-dev 0.6.30-5ubuntu2.1
1969-12-31 18:46:49 status unpacked libavahi-common-dev 0.6.30-5ubuntu2.1
1969-12-31 18:46:49 install libpcre3-dev <none> 8.12-4
1969-12-31 18:46:49 status half-installed libpcre3-dev 8.12-4
1969-12-31 18:46:49 status triggers-pending man-db 2.6.1-2
1969-12-31 18:46:49 status half-installed libpcre3-dev 8.12-4
1969-12-31 18:46:50 status unpacked libpcre3-dev 8.12-4
1969-12-31 18:46:50 status unpacked libpcre3-dev 8.12-4
1969-12-31 18:46:50 install libglib2.0-dev <none> 2.32.4-0ubuntu1
1969-12-31 18:46:50 status half-installed libglib2.0-dev 2.32.4-0ubuntu1
1969-12-31 18:46:58 status half-installed libglib2.0-dev 2.32.4-0ubuntu1
1969-12-31 18:46:59 status triggers-pending libglib2.0-0 2.32.4-0ubuntu1
1969-12-31 18:46:59 status half-installed libglib2.0-dev 2.32.4-0ubuntu1
1969-12-31 18:47:01 status unpacked libglib2.0-dev 2.32.4-0ubuntu1
1969-12-31 18:47:01 status unpacked libglib2.0-dev 2.32.4-0ubuntu1
1969-12-31 18:47:01 install libavahi-glib-dev <none> 0.6.30-5ubuntu2.1
1969-12-31 18:47:01 status half-installed libavahi-glib-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:01 status unpacked libavahi-glib-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:01 status unpacked libavahi-glib-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:01 trigproc man-db 2.6.1-2 2.6.1-2
1969-12-31 18:47:01 status half-configured man-db 2.6.1-2
1969-12-31 18:47:22 status installed man-db 2.6.1-2
1969-12-31 18:47:25 trigproc libglib2.0-0 2.32.4-0ubuntu1 2.32.1-0ubuntu2
1969-12-31 18:47:25 status half-configured libglib2.0-0 2.32.4-0ubuntu1
1969-12-31 18:47:26 status installed libglib2.0-0 2.32.4-0ubuntu1
1969-12-31 18:47:29 startup packages configure
1969-12-31 18:47:29 configure libavahi-glib1 0.6.30-5ubuntu2.1 <none>
1969-12-31 18:47:29 status unpacked libavahi-glib1 0.6.30-5ubuntu2.1
1969-12-31 18:47:29 status half-configured libavahi-glib1 0.6.30-5ubuntu2.1
1969-12-31 18:47:29 status installed libavahi-glib1 0.6.30-5ubuntu2.1
1969-12-31 18:47:29 status triggers-pending libc-bin 2.15-0ubuntu10.12
1969-12-31 18:47:29 configure libpcrecpp0 8.12-4 <none>
1969-12-31 18:47:29 status unpacked libpcrecpp0 8.12-4
1969-12-31 18:47:30 status half-configured libpcrecpp0 8.12-4
1969-12-31 18:47:30 status installed libpcrecpp0 8.12-4
1969-12-31 18:47:30 configure libavahi-common-dev 0.6.30-5ubuntu2.1 <none>
1969-12-31 18:47:30 status unpacked libavahi-common-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:30 status half-configured libavahi-common-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:30 status installed libavahi-common-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:30 configure libpcre3-dev 8.12-4 <none>
1969-12-31 18:47:30 status unpacked libpcre3-dev 8.12-4
1969-12-31 18:47:30 status half-configured libpcre3-dev 8.12-4
1969-12-31 18:47:30 status installed libpcre3-dev 8.12-4
1969-12-31 18:47:30 configure libglib2.0-dev 2.32.4-0ubuntu1 <none>
1969-12-31 18:47:30 status unpacked libglib2.0-dev 2.32.4-0ubuntu1
1969-12-31 18:47:30 status half-configured libglib2.0-dev 2.32.4-0ubuntu1
1969-12-31 18:47:30 status installed libglib2.0-dev 2.32.4-0ubuntu1
1969-12-31 18:47:30 configure libavahi-glib-dev 0.6.30-5ubuntu2.1 <none>
1969-12-31 18:47:30 status unpacked libavahi-glib-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:30 status half-configured libavahi-glib-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:30 status installed libavahi-glib-dev 0.6.30-5ubuntu2.1
1969-12-31 18:47:30 trigproc libc-bin 2.15-0ubuntu10.12 <none>
1969-12-31 18:47:30 status half-configured libc-bin 2.15-0ubuntu10.12
1969-12-31 18:47:30 status installed libc-bin 2.15-0ubuntu10.12
1969-12-31 18:55:17 startup archives unpack
1969-12-31 18:55:18 install libkate1 <none> 0.4.1-1
1969-12-31 18:55:18 status half-installed libkate1 0.4.1-1
1969-12-31 18:55:18 status unpacked libkate1 0.4.1-1
1969-12-31 18:55:18 status unpacked libkate1 0.4.1-1
1969-12-31 18:55:18 install liboggkate1 <none> 0.4.1-1
1969-12-31 18:55:18 status half-installed liboggkate1 0.4.1-1
1969-12-31 18:55:19 status unpacked liboggkate1 0.4.1-1
1969-12-31 18:55:19 status unpacked liboggkate1 0.4.1-1
1969-12-31 18:55:19 install ffmpeg2theora <none> 0.27-1.1ubuntu1
1969-12-31 18:55:19 status half-installed ffmpeg2theora 0.27-1.1ubuntu1
1969-12-31 18:55:19 status triggers-pending man-db 2.6.1-2
1969-12-31 18:55:19 status half-installed ffmpeg2theora 0.27-1.1ubuntu1
1969-12-31 18:55:19 status unpacked ffmpeg2theora 0.27-1.1ubuntu1
1969-12-31 18:55:19 status unpacked ffmpeg2theora 0.27-1.1ubuntu1
1969-12-31 18:55:19 trigproc man-db 2.6.1-2 2.6.1-2
1969-12-31 18:55:19 status half-configured man-db 2.6.1-2
1969-12-31 18:55:27 status installed man-db 2.6.1-2
1969-12-31 18:55:29 startup packages configure
1969-12-31 18:55:29 configure libkate1 0.4.1-1 <none>
1969-12-31 18:55:29 status unpacked libkate1 0.4.1-1
1969-12-31 18:55:29 status half-configured libkate1 0.4.1-1
1969-12-31 18:55:30 status installed libkate1 0.4.1-1
1969-12-31 18:55:30 status triggers-pending libc-bin 2.15-0ubuntu10.12
1969-12-31 18:55:30 configure liboggkate1 0.4.1-1 <none>
1969-12-31 18:55:30 status unpacked liboggkate1 0.4.1-1
1969-12-31 18:55:30 status half-configured liboggkate1 0.4.1-1
1969-12-31 18:55:30 status installed liboggkate1 0.4.1-1
1969-12-31 18:55:30 configure ffmpeg2theora 0.27-1.1ubuntu1 <none>
1969-12-31 18:55:30 status unpacked ffmpeg2theora 0.27-1.1ubuntu1
1969-12-31 18:55:30 status half-configured ffmpeg2theora 0.27-1.1ubuntu1
1969-12-31 18:55:30 status installed ffmpeg2theora 0.27-1.1ubuntu1
1969-12-31 18:55:30 trigproc libc-bin 2.15-0ubuntu10.12 <none>
1969-12-31 18:55:30 status half-configured libc-bin 2.15-0ubuntu10.12
1969-12-31 18:55:31 status installed libc-bin 2.15-0ubuntu10.12
1969-12-31 18:59:56 startup archives unpack
1969-12-31 18:59:57 upgrade libexif12 0.6.20-2 0.6.20-2ubuntu0.1
1969-12-31 18:59:57 status half-configured libexif12 0.6.20-2
1969-12-31 18:59:57 status unpacked libexif12 0.6.20-2
1969-12-31 18:59:57 status half-installed libexif12 0.6.20-2
1969-12-31 18:59:57 status half-installed libexif12 0.6.20-2
1969-12-31 18:59:58 status unpacked libexif12 0.6.20-2ubuntu0.1
1969-12-31 18:59:58 status unpacked libexif12 0.6.20-2ubuntu0.1
1969-12-31 18:59:58 upgrade libgphoto2-l10n 2.4.13-1ubuntu1 2.4.13-1ubuntu1.2
1969-12-31 18:59:58 status half-configured libgphoto2-l10n 2.4.13-1ubuntu1
1969-12-31 18:59:58 status unpacked libgphoto2-l10n 2.4.13-1ubuntu1
1969-12-31 18:59:58 status half-installed libgphoto2-l10n 2.4.13-1ubuntu1
1969-12-31 18:59:58 status half-installed libgphoto2-l10n 2.4.13-1ubuntu1
1969-12-31 18:59:58 status unpacked libgphoto2-l10n 2.4.13-1ubuntu1.2
1969-12-31 18:59:58 status unpacked libgphoto2-l10n 2.4.13-1ubuntu1.2
1969-12-31 18:59:58 upgrade libgphoto2-2 2.4.13-1ubuntu1 2.4.13-1ubuntu1.2
1969-12-31 18:59:58 status half-configured libgphoto2-2 2.4.13-1ubuntu1
1969-12-31 18:59:58 status unpacked libgphoto2-2 2.4.13-1ubuntu1
1969-12-31 18:59:58 status half-installed libgphoto2-2 2.4.13-1ubuntu1
1969-12-31 19:00:02 status half-installed libgphoto2-2 2.4.13-1ubuntu1
1969-12-31 19:00:02 status unpacked libgphoto2-2 2.4.13-1ubuntu1.2
1969-12-31 19:00:02 status unpacked libgphoto2-2 2.4.13-1ubuntu1.2
1969-12-31 19:00:03 install libexif-dev <none> 0.6.20-2ubuntu0.1
1969-12-31 19:00:03 status half-installed libexif-dev 0.6.20-2ubuntu0.1
1969-12-31 19:00:03 status triggers-pending doc-base 0.10.3
1969-12-31 19:00:03 status half-installed libexif-dev 0.6.20-2ubuntu0.1
1969-12-31 19:00:03 status unpacked libexif-dev 0.6.20-2ubuntu0.1
1969-12-31 19:00:03 status unpacked libexif-dev 0.6.20-2ubuntu0.1
1969-12-31 19:00:03 install libusb-dev <none> 2:0.1.12-20
1969-12-31 19:00:03 status half-installed libusb-dev 2:0.1.12-20
1969-12-31 19:00:04 status half-installed libusb-dev 2:0.1.12-20
1969-12-31 19:00:04 status triggers-pending man-db 2.6.1-2
1969-12-31 19:00:04 status half-installed libusb-dev 2:0.1.12-20
1969-12-31 19:00:04 status unpacked libusb-dev 2:0.1.12-20
1969-12-31 19:00:04 status unpacked libusb-dev 2:0.1.12-20
1969-12-31 19:00:04 install libgphoto2-2-dev <none> 2.4.13-1ubuntu1.2
1969-12-31 19:00:04 status half-installed libgphoto2-2-dev 2.4.13-1ubuntu1.2
1969-12-31 19:00:04 status half-installed libgphoto2-2-dev 2.4.13-1ubuntu1.2
1969-12-31 19:00:20 status unpacked libgphoto2-2-dev 2.4.13-1ubuntu1.2
1969-12-31 19:00:22 status unpacked libgphoto2-2-dev 2.4.13-1ubuntu1.2
1969-12-31 19:00:22 trigproc doc-base 0.10.3 0.10.3
1969-12-31 19:00:22 status half-configured doc-base 0.10.3
1969-12-31 19:00:23 status installed doc-base 0.10.3
1969-12-31 19:00:23 trigproc man-db 2.6.1-2 2.6.1-2
1969-12-31 19:00:23 status half-configured man-db 2.6.1-2
1969-12-31 19:00:32 status installed man-db 2.6.1-2
1969-12-31 19:00:34 startup packages configure
1969-12-31 19:00:34 configure libexif12 0.6.20-2ubuntu0.1 <none>
1969-12-31 19:00:34 status unpacked libexif12 0.6.20-2ubuntu0.1
1969-12-31 19:00:34 status half-configured libexif12 0.6.20-2ubuntu0.1
1969-12-31 19:00:34 status installed libexif12 0.6.20-2ubuntu0.1
1969-12-31 19:00:34 status triggers-pending libc-bin 2.15-0ubuntu10.12
